Incident Zip,Unique Key,Latitude,Longitude
11221.0,4069,4047,4047
11216.0,3428,3403,3403
11238.0,3414,3397,3397
10025.0,3343,3279,3279
11233.0,2678,2663,2663
10467.0,2392,2384,2384
11207.0,2330,2322,2322
10456.0,2294,2283,2283
11385.0,2135,2122,2122
10457.0,2096,2088,2088
11215.0,2054,2042,2042
10458.0,2042,2038,2038
11206.0,2034,2017,2017
11226.0,2013,2002,2002
10031.0,1959,1953,1953
10027.0,1942,1925,1925
11237.0,1939,1933,1933
11211.0,1888,1874,1874
11213.0,1879,1864,1864
11217.0,1875,1859,1859
10024.0,1795,1745,1745
10026.0,1725,1689,1689
10453.0,1724,1722,1722
10002.0,1716,1708,1708
10468.0,1595,1590,1590
10029.0,1554,1533,1533
11205.0,1550,1535,1535
10452.0,1511,1510,1510
10009.0,1495,1473,1473
11225.0,1484,1477,1477
10128.0,1434,1420,1420
11212.0,1413,1404,1404
11203.0,1380,1375,1375
10472.0,1380,1378,1378
10459.0,1368,1362,1362
10032.0,1367,1363,1363
10462.0,1353,1352,1352
11222.0,1342,1337,1337
10460.0,1332,1328,1328
11208.0,1302,1299,1299
10033.0,1212,1207,1207
11377.0,1163,1157,1157
10023.0,1135,1114,1114
10030.0,1125,1106,1106
10455.0,1115,1109,1109
10463.0,1104,1096,1096
10035.0,1072,1063,1063
10451.0,1048,1047,1047
10034.0,1012,1008,1008
10314.0,1007,1007,1007
10469.0,939,935,935
11201.0,925,921,921
11235.0,885,879,879
10306.0,876,873,873
10013.0,847,843,843
10003.0,839,832,832
10028.0,835,832,832
10011.0,820,810,810
11101.0,799,795,795
10014.0,781,779,779
10040.0,774,771,771
11433.0,765,761,761
11236.0,762,762,762
10466.0,758,756,756
10454.0,753,744,744
11368.0,748,747,747
11373.0,741,736,736
10312.0,731,725,725
11231.0,695,693,693
10012.0,692,690,690
11234.0,665,659,659
11435.0,654,651,651
11214.0,653,652,652
11218.0,648,642,642
11372.0,647,645,645
11220.0,632,631,631
10036.0,623,615,615
11412.0,596,594,594
11219.0,592,587,587
11223.0,586,580,580
10301.0,586,581,581
11230.0,585,582,582
11434.0,583,582,582
11432.0,569,567,567
10304.0,568,566,566
10019.0,559,554,554
11378.0,552,549,549
11103.0,547,541,541
10016.0,540,533,533
10305.0,539,538,538
10001.0,538,532,532
10037.0,536,530,530
11210.0,521,516,516
10310.0,518,517,517
11249.0,513,509,509
11379.0,507,506,506
10461.0,505,500,500
10473.0,497,493,493
10303.0,481,478,478
10474.0,455,451,451
11419.0,450,448,448
11417.0,444,438,438
10022.0,442,435,435
11420.0,439,438,438
10038.0,430,424,424
11106.0,429,423,423
10465.0,426,426,426
10010.0,426,420,420
10021.0,422,420,420
10039.0,421,419,419
11224.0,407,406,406
10302.0,396,396,396
11374.0,392,391,391
11209.0,388,384,384
11357.0,387,385,385
10075.0,378,367,367
11204.0,366,364,364
11418.0,362,362,362
11229.0,361,361,361
10308.0,346,346,346
10065.0,332,331,331
11413.0,328,326,326
10007.0,326,321,321
11375.0,322,320,320
11355.0,322,322,322
10309.0,315,315,315
11691.0,315,312,312
11436.0,311,309,309
11104.0,306,300,300
10470.0,290,289,289
11354.0,275,272,272
11232.0,273,270,270
11429.0,255,255,255
11416.0,254,253,253
11105.0,248,248,248
11370.0,248,248,248
11228.0,242,239,239
11421.0,240,240,240
11369.0,237,237,237
11423.0,232,231,231
11414.0,218,216,216
11361.0,214,213,213
11102.0,209,205,205
10471.0,203,202,202
10018.0,197,195,195
11358.0,175,175,175
11367.0,165,164,164
10307.0,146,146,146
11422.0,144,143,143
11426.0,140,139,139
10006.0,126,122,122
11411.0,126,125,125
11365.0,121,119,119
11356.0,107,107,107
10017.0,106,105,105
11694.0,100,99,99
11427.0,93,93,93
11692.0,92,92,92
11428.0,92,92,92
10475.0,87,85,85
11415.0,85,85,85
11693.0,77,77,77
11364.0,74,74,74
10464.0,61,61,61
10004.0,60,60,60
11366.0,59,58,58
11001.0,57,57,57
11360.0,55,55,55
11362.0,51,50,50
10005.0,45,44,44
10069.0,35,34,34
11004.0,33,33,33
10280.0,30,30,30
83.0,26,26,26
11363.0,23,23,23
10282.0,19,19,19
11239.0,17,16,16
11109.0,15,15,15
11430.0,13,13,13
10162.0,13,13,13
10044.0,10,10,10
11040.0,10,9,9
10000.0,3,3,3
10020.0,2,2,2
11697.0,2,2,2
10112.0,2,2,2
10118.0,1,1,1
10041.0,1,1,1
10048.0,1,1,1
10111.0,1,1,1
11371.0,1,1,1
10121.0,1,1,1
10119.0,1,1,1
10120.0,1,1,1
10151.0,1,1,1
10174.0,1,1,1
10271.0,1,1,1
1123.0,1,0,0
11202.0,1,0,0
11241.0,1,1,1
11242.0,1,1,1
100354.0,1,0,0
